,Title,Year,Authors,Journal,Journal Acronym,Rank
0,A Feature-Based Compressive Spectrum Sensing Technique for Cognitive Radio Operation.,2018,"Hao Chen, Chan Hua Vun",Circuits Syst. Signal Process. 37: 1287-1314 ,CSSP,Unranked
1,A Novel Matrix Optimization for Compressive Sampling-Based Sub-Nyquist OFDM Receiver in Cognitive Radio.,2018,"Hao Chen, Chan Hua Vun",Circuits Syst. Signal Process. 37: 5069-5086 ,CSSP,Unranked
2,Smartphone Orientation Estimation Algorithm Combining Kalman Filter With Gradient Descent.,2018,"Seanglidet Yean, Bu-Sung Lee, Chai Kiat Yeo, Chan Hua Vun, Hong Lye Oh",IEEE J. Biomed. Health Informatics 22: 1421-1433 ,TITB,Unranked
3,Fracturable DSP Block for Multi-context Reconfigurable Architectures.,2017,"Rakesh Warrier, Shanker Shreejith, Wei Zhang, Chan Hua Vun, Suhaib A. Fahmy",Circuits Syst. Signal Process. 36: 3020-3033 ,CSSP,Unranked
4,Pipeline Reconfigurable DSP for Dynamically Reconfigurable Architectures.,2017,"Rakesh Warrier, Wei Zhang, Chan Hua Vun",Circuits Syst. Signal Process. 36: 3799-3824 ,CSSP,Unranked
5,Compressive sensing techniques for UWB indoor positioning applications.,2015,"H. Chen, Nicholas C. H. Vun",ICCE 2015: 231-232,ICCEL,Unranked
6,Securing IoT for smart home system.,2015,"Freddy K. Santoso, Nicholas C. H. Vun",ISCE 2015: 1-2,ISCE,Unranked
7,A low-power pipelined MAC architecture using Baugh-Wooley based multiplier.,2014,"Rakesh Warrier, Chan Hua Vun, Wei Zhang",GCCE 2014: 505-506,GCCE,Unranked
8,A high performance hardware based RNS-to-binary converter.,2014,"K. M. Karthik, Nicholas C. H. Vun",ICCE 2014: 147-148,ICCEL,Unranked
9,Sum of products: Computation using modular thermometer codes.,2014,"Chan Hua Vun, A. Benjamin Premkumar, Wei Zhang",ISPACS 2014: 141-146,ISPACS,Unranked
10,A New RNS based DA Approach for Inner Product Computation.,2013,"Chan Hua Vun, A. Benjamin Premkumar, Wei Zhang",IEEE Trans. Circuits Syst. I Regul. Pap. 60-I: 2139-2152 ,TCAS,Unranked
11,Efficient reverse converters designs for RNS based digital signal processing systems.,2013,"Kalyanaraman Karthik, Nicholas Chan Hua Vun",GCCE 2013: 153-154,GCCE,Unranked
12,Design of LUT based RNS reverse converters.,2013,"Wei Lam Kong, Nicholas Chan Hua Vun",ISCE 2013: 119-120,ISCE,Unranked
13,Number theory based signal conversion and processing techniques.,2012,Chan Hua Vun,"Nanyang Technological University, Singapore, 2012",NAN,Unranked
14,RNS encoding based folding ADC.,2012,"Chan Hua Vun, A. Benjamin Premkumar",ISCAS 2012: 814-817,ISCAS,Unranked
15,Implementation of an Android Phone Based Video Streamer.,2010,"Nicholas C. H. Vun, Y. H. Ooi",GreenCom/CPSCom 2010: 912-915,GREENCOM,Unranked
16,Real-Time Enhancements for Embedded Linux.,2008,"Nicholas Vun, H. F. Hor, J. W. Chao",ICPADS 2008: 737-740,ICPADS,B
17,The design of effective low cost embedded processor development kits for supporting take-home self-practice pedagogies.,2007,"Nicholas Vun, Wooi-Boon Goh",ICPADS 2007: 1-7,ICPADS,B
18,Issues and challenges of embedded processor education for working professionals.,2007,"Nicholas Vun, Wooi-Boon Goh",ICPADS 2007: 1-8,ICPADS,B
19,Power LAN MIB for management of intelligent telecommunication equipment.,2000,"Bu-Sung Lee, Chiew Tong Lau, Nicholas C. H. Vun",J. Netw. Comput. Appl. 23: 143-154 ,JNCA,Unranked
